,obj_id,area[ha],ativo[ha],coda,mean[$/ha],ecoserv,prob_deforest,price[$]
4308,235833,29.15,13.68530066,1,2513.7,0.642280046,0.0,73274.355
4422,241067,29.5775,18.56531008,1,2491.5,0.505472667,0.0,73692.34125
21694,1191871,10.6284,2.12567596,1,6949.5,0.7226659440000001,0.0,73862.0658
13208,703098,30.2144,6.63938808,1,2447.1,0.46220065200000005,0.951807229,73937.65824
12467,677530,12.4234,8.070786425,1,5953.8,0.542090053,0.0,73966.43892
8779,407431,17.2321,11.15377055,2,4297.1,0.507405726,0.0,74048.05691
13194,702432,30.0557,6.30529792,1,2469.3,0.48252100600000003,0.0,74216.54001
17260,896028,30.4748,4.530829499999999,2,2447.1,0.48435455299999997,0.0,74574.88308
15171,764780,31.0564,10.04892845,1,2447.1,0.5870036829999999,0.654618474,75998.11644
5154,255955,31.3431,17.37301845,1,2439.7,0.5095939279999999,0.951807229,76467.76107000001
11432,568517,12.2174,2.440629,2,6459.5,0.44349004299999994,0.273092369,78918.2953
7490,361447,19.602999999999998,0.741960335,1,4038.1,0.548383029,0.7510040159999999,79158.8743
13674,713636,9.61079,6.247016165,1,8256.3,0.505416317,0.0,79349.56547999999
5834,280857,27.5276,8.89275982,1,2891.1,0.53170526,0.951807229,79585.04436
13076,700804,32.5093,19.0525548,1,2476.7,0.49116982299999995,0.710843373,80515.78331
9544,449452,32.5696,8.06039091,1,2476.7,0.587779305,0.0,80665.12832
5885,280705,33.0044,21.27400379,1,2447.1,0.531739694,0.0,80765.06724
14699,749284,5.796469999999999,1.540710405,1,13972.5,0.496191964,0.0,80991.17707
13186,702874,32.7227,10.26973895,1,2476.7,0.46887621399999996,0.951807229,81044.31109
5223,256829,33.3329,21.66639059,1,2439.7,0.548106392,0.0,81322.27613
4381,240445,33.4295,20.65167806,1,2461.9,0.495458069,0.6345381529999999,82300.08605
5447,266865,21.413,8.918468655,1,3927.1,0.495325941,0.0,84090.9923
4309,235899,34.1047,19.31275652,1,2469.3,0.640649004,0.0,84214.73571000001
5874,280693,32.2009,19.68315466,1,2624.7,0.5308807560000001,0.0,84517.70223
5195,256081,29.9137,16.44387777,1,2831.9,0.5315292229999999,0.9236947790000001,84712.60703
15451,772860,34.5388,20.44805238,1,2454.5,0.5648146629999999,0.907630522,84775.4846
15220,765172,34.1074,22.15798436,1,2491.5,0.5961477279999999,0.0,84978.5871
5698,279195,31.2004,20.28025961,1,2735.7,0.5828147220000001,0.522088353,85354.93428
7505,361201,27.7212,18.01879547,1,3090.9,0.717174117,0.6345381529999999,85683.45708
12716,683870,35.1336,19.83685131,1,2439.7,0.522904448,0.0,85715.44392
5533,272823,21.5057,1.479588955,1,4016.9,0.410534193,0.0,86386.24633
20364,1046394,35.4941,8.198228675,1,2439.7,0.5515847110000001,0.0,86594.95577
1407,77449,25.8742,4.1889759,1,3349.9,0.6036825610000001,0.064257028,86675.98258
13056,698662,11.8867,0.72634304,1,7330.1,0.620015134,0.0,87130.69967
7625,368233,23.2876,8.92874279,2,3749.5,0.47584013399999997,0.7510040159999999,87316.8562
7452,358255,22.5025,14.62659933,1,3898.9,0.401343161,0.0,87734.99725
9157,433801,21.6385,11.04455139,1,4075.9,0.408603041,0.389558233,88196.36215
14899,752602,11.9869,0.51108553,1,7382.2,0.563000023,0.0,88489.69318
15411,771742,36.2542,23.56420593,1,2447.1,0.539542923,0.0,88717.65282
13150,701718,32.355,19.07859376,1,2765.3,0.48489439799999995,0.0,89471.2815
4464,241167,34.3972,6.35819339,1,2602.5,0.501478183,0.7269076309999999,89518.713
10581,517396,23.5909,15.33411503,2,3845.7,0.575681897,0.0,90723.52412999999
5738,279129,31.173000000000002,14.09424723,1,2920.7,0.60772194,0.0,91046.9811
3212,190212,15.9686,10.35375263,2,5711.2,0.692023361,0.7510040159999999,91199.86832000001
14014,726932,26.3745,1.03303876,1,3460.9,0.508500904,0.0,91279.50705
2337,170159,29.5763,9.58847649,1,3087.3,0.544808693,0.0,91310.91099
15217,765090,36.8266,23.93726959,1,2484.1,0.5401815560000001,0.0,91480.95706
5851,281233,35.0392,22.74616663,1,2624.7,0.574204652,0.710843373,91967.38824
5876,281409,37.4178,23.3577162,1,2484.1,0.531257895,0.0,92949.55698
7517,362469,27.7105,1.011850285,1,3379.5,0.568365462,0.0,93647.63475
26366,1449224,13.2845,2.6363781000000004,1,7075.4,0.681167075,0.0,93993.1513
12792,684142,38.4978,16.33009647,1,2461.9,0.496867538,0.0,94777.73382000001
5183,255869,22.2949,14.34964934,1,4311.9,0.513725262,0.0,96133.37931
13238,703720,37.3577,19.27378961,1,2580.3,0.533795984,0.654618474,96394.07331
20850,1099137,38.781,22.21272681,2,2491.5,0.5364430379999999,0.7510040159999999,96622.8615
4703,245255,23.8269,14.96150637,1,4077.4,0.470475834,0.0,97151.80206
6532,297077,24.337,1.63044099,1,4025.65,0.331000725,0.0,97972.24405
15435,772452,40.0464,25.95797406,1,2447.1,0.545172361,0.345381526,97997.54544
4334,236137,40.2886,25.53350183,1,2439.7,0.59045484,0.148594378,98292.09742
7191,326489,31.8511,9.499997635,1,3098.3,0.492230321,0.204819277,98684.26312999999
12471,677596,19.0469,10.43403443,1,5215.9,0.520052511,0.0,99346.72571
5443,266769,24.572,15.55181362,1,4045.5,0.522425436,0.7510040159999999,99406.026
7694,369926,34.0418,11.89621658,1,2935.5,0.7282741490000001,0.0,99929.7039
15650,778028,20.3551,11.73563252,1,4926.8,0.5552106529999999,0.0,100285.5067
6677,300149,34.6111,7.25680419,1,2905.9,0.508662186,0.0,100576.3955
12858,686724,24.7854,7.04905688,1,4060.0,0.49812810399999996,0.0,100628.724
9545,449453,40.7568,8.06039091,1,2476.7,0.587779305,0.0,100942.3666
12946,692170,5.0860199999999995,2.305913325,1,19860.2,0.554806963,0.0,101009.3744
5220,256765,37.5954,24.43688221,1,2691.3,0.5379271760000001,0.36144578299999996,101180.5
6163,288333,40.2632,0.17073212,1,2513.7,0.658342609,0.710843373,101209.6058
15477,772250,39.1505,4.447796075,1,2587.7,0.572440906,0.710843373,101309.7488
11489,571689,24.1788,3.78002624,2,4193.9,0.46207488700000005,0.0,101403.4693
7466,359561,16.4308,5.680033325,1,6282.5,0.286978999,0.309236948,103226.50099999999
13152,701814,42.076,24.56611404,1,2461.9,0.493288331,0.0,103586.9044
6365,290701,24.1136,15.67384111,1,4304.5,0.559074713,0.0,103796.9912
12790,684034,42.3124,27.50301093,1,2461.9,0.52853678,0.0,104168.8976
26090,1431442,9.57666,0.8465725000000001,1,10917.5,0.7362360729999999,0.0,104553.1856
15452,772866,41.1941,10.45708579,1,2543.3,0.5399186970000001,0.413654618,104768.9545
9833,463633,26.068,8.681897705,1,4030.7,0.483572736,0.0,105072.2876
5766,280187,36.0378,8.424341785,1,2920.7,0.5135050870000001,0.710843373,105255.6025
5428,266637,26.4083,16.98678189,1,3993.7,0.516010744,0.0,105466.8277
12706,683974,42.5617,10.96329501,1,2484.1,0.49291841399999997,0.19277108399999998,105727.519
13896,723548,9.582460000000001,6.21017059,1,11158.6,0.576852299,0.0,106926.8382
8827,408682,42.875,27.02341824,2,2521.1,0.456429745,0.5742971889999999,108092.1625
14296,735164,17.7353,7.5713322,1,6096.0,0.578869247,0.710843373,108114.3888
13181,702700,44.8699,21.05270559,1,2454.5,0.45545343,0.951807229,110133.1696
7492,361607,21.1436,9.07294869,1,5224.2,0.472637167,0.542168675,110458.3951
6219,288583,30.0264,16.82663146,1,3690.3,0.492830912,0.0,110806.4239
4241,232733,31.2183,15.16911199,1,3549.7,0.46479552700000004,0.0,110815.5995
13160,702230,44.5444,2.396175795,1,2506.3,0.518225756,0.935742972,111641.6297
21827,1194949,33.0671,6.61342316,1,3378.7,0.581334994,0.0,111723.8108
9836,463646,26.3492,3.532984585,1,4311.9,0.51897192,0.0,113615.1155
6988,318983,38.0767,18.57314854,1,2994.7,0.602460921,0.935742972,114028.2935
13095,701232,44.2015,20.38569453,1,2587.7,0.489553277,0.47389558200000004,114380.2216
7005,319089,43.1023,28.01651151,1,2661.7,0.60765613,0.0,114725.3919
5415,266309,29.1756,5.850995435,1,3934.5,0.54666254,0.0,114791.3982
13452,707380,39.1122,11.77782852,1,2942.9,0.576782606,0.0,115103.2934
20610,1075121,44.2398,27.86122456,2,2602.5,0.540503097,0.0,115134.0795
6197,288727,26.8717,17.45376113,1,4311.9,0.522102043,0.6345381529999999,115868.0832
5196,256181,41.483000000000004,11.96393375,1,2802.3,0.47983138200000003,0.710843373,116247.8109
17258,895965,46.8046,20.25955751,2,2484.1,0.470287745,0.0,116267.3069
17186,893661,27.1582,11.55156832,2,4297.1,0.48855218899999997,0.0,116701.5012
8843,408352,48.0247,6.236524515,2,2439.7,0.561568729,0.0,117165.8606
14769,750090,47.8095,4.678604305,1,2454.5,0.577960644,0.7510040159999999,117348.4178
14853,751466,29.1463,8.98222201,1,4046.1,0.532710836,0.0,117928.8444
27134,1535468,16.454,3.28760032,2,7172.5,0.664001405,0.710843373,118016.315
19905,1021192,48.3682,27.38678436,1,2447.1,0.50536876,0.0,118361.8222
2370,171703,28.7996,9.21019837,1,4117.3,0.44693646299999995,0.522088353,118576.5931
15416,772128,48.2805,31.38154546,1,2461.9,0.535822526,0.345381526,118861.763
15677,778202,25.0287,15.93392886,1,4798.1,0.535753201,0.0,120090.2055
13248,704018,48.636,27.608895699999998,1,2484.1,0.464969507,0.9236947790000001,120816.6876
11679,591094,30.1517,13.59862177,2,4007.5,0.30370325,0.951807229,120832.9378
6166,288419,28.6425,9.91493061,1,4223.1,0.515764534,0.6787148590000001,120960.1418
6235,289395,28.7547,18.32471284,1,4208.3,0.482521705,0.522088353,121008.40400000001
14835,751190,25.2421,12.58216695,1,4798.5,0.546429742,0.0,121124.2169
